First Connection;You are now a full member of Sport Manager !
First Workout;Congratulations for you very first workout !
First Log;You have just saved your first log !
Connected Device;You can now send logs from a connected object !
Tenth Workout;Don't stop me now !
Top 1;Killer Queen ! You are or have been first in a ranking !
First Workout - 100m hurdles;You have just finished your first workout of 100m hurdles !
First Workout - Beer Pong;You have just finished your first workout of beer pong !
First Workout - Cricket;You have just finished your first workout of cricket !
First Workout - Quidditch;You have just finished your first workout of quidditch !
First Workout - Soccer;You have just finished your first workout of soccer !
First Workout - Tennis; You have just finished your first workout of tennis !
24h Member; It's already been one day since your registration !
